Trade Date,Order Type,Security,Cusip,Transaction Description,Quantity,Executed Price,Commission,Net Amount
3/6/2015,Buy Open,BRCD MAR 20 '15 $10 CALL,,"10     BRCD MAR 20 '15        $10 CALL(BRCD)                BROCADE COMMUNICATIONS SYS INC",10,2.2,17.49,2217.68
3/13/2015,Sell To Close,BRCD MAR 20 '15 $10 CALL,,"10     BRCD MAR 20 '15        $10 CALL(BRCD)                BROCADE COMMUNICATIONS SYS INC",10,1.91,17.49,1892.28
9/28/2015,Buy,ARO,007865108,"AEROPOSTALE",4000,0.61,9.99,2449.99
9/29/2015,Sell,ARO,007865108,"AEROPOSTALE",4000,0.58,9.99,2309.96
11/20/2015,Buy,BRCD,111621306,"BROCADE COMMUNICATIONS SYS INC",400,9.99,9.99,4005.99

